target_directory,target_group,keep_or_create,replaces_current_paths,primary_producers,expected_contents,notes
data/core/parquet/full,core,keep,"data/parquet","all core batch CLI commands","canonical full dataset parquet tables for core results","Primary provider root for full dataset"
data/core/parquet/gt10,core-derived,create,"data/parquet_gt10","derived dataset build/export flows and visualization consumers","gt10 variant of core parquet tables","Derived dataset should live under core parquet tree, not top-level sibling"
data/core/parquet/no_pwm_err,core-derived,create,"data/parquet_no_pwm_err","derived dataset build/export flows and visualization consumers","no_pwm_err variant of core parquet tables","Derived dataset should live under core parquet tree, not top-level sibling"
data/core/figures/full,core-visualize,create,"data/figures/full","visualize quantile-global; pwm-global; eot-global; extremes-scatter","standard full-dataset global figures grouped by script family","Figure root grouped by script/output family"
data/core/figures/gt10,core-visualize,create,"data/figures/gt10","visualize commands against gt10 dataset","standard gt10 global figures grouped by script family","Mirrors full layout for derived dataset"
data/core/figures/no_pwm_err,core-visualize,create,"data/figures/no_pwm_err","visualize commands against no_pwm_err dataset","standard no_pwm_err global figures grouped by script family","Mirrors full layout for derived dataset"
data/comparison/benchmarks/area_vs_atlas,comparison,create,"data/area_comparison","experiment comparison area-vs-atlas","comparison CSV reports and benchmark figures","Replace standalone area_comparison root"
data/comparison/benchmarks/algorithms,comparison,create,"data/comparison; data/cache/comparison; data/figures/comparison","experiment benchmark algorithms","sample parquet; postprocess parquet; cache; benchmark figures","Root for algorithm and dataset benchmarks"
data/comparison/benchmarks/algorithms/full,comparison,create,"full-dataset comparison outputs currently mixed under data/comparison and data/figures/comparison","experiment benchmark algorithms","full-dataset benchmark sample results cache and figures","Full benchmark branch"
data/comparison/benchmarks/algorithms/gt10,comparison,create,"gt10 comparison outputs currently mixed with top-level gt10 figures","experiment benchmark algorithms","gt10 benchmark sample results cache and figures","gt10 benchmark branch"
data/comparison/benchmarks/algorithms/full/sample,comparison,create,"data/comparison/sample_lakes.parquet; data/comparison/sample_statistics.parquet","benchmark sampling stage","sample_lakes.parquet and sample_statistics.parquet","Benchmark input subroot"
