script_path,primary_function,has_cli,cli_group_or_command,category,status,input_summary,output_summary,notes
packages/lakeanalysis/scripts/run_quantile.py,Run quantile batch computation,yes,"eot quantile",core,keep,"lake_area via provider; range filter; quantile config","quantile_labels; quantile_extremes; quantile_abrupt_transitions; quantile_run_status in core parquet/DB","Contains legacy single-lake CSV helper in same file; should be removed or archived later"
packages/lakeanalysis/scripts/run_pwm_extreme.py,Run PWM extreme batch computation,yes,"pwm run",core,keep,"lake_area via provider; range filter; PWM config","pwm_extreme_thresholds; pwm_extreme_labels; pwm_extreme_extremes; pwm_extreme_run_status in core parquet/DB","Thin Engine entry"
packages/lakeanalysis/scripts/run_eot.py,Run EOT batch computation,yes,"eot run",core,keep,"lake_area via provider; tail set; threshold quantiles","eot_results; eot_extremes; eot_run_status in core parquet/DB","Thin Engine entry"
packages/lakeanalysis/scripts/run_pwm_hawkes.py,Run PWM plus Hawkes batch computation,yes,"pwm hawkes",core,keep,"lake_area via provider; decay and Hawkes QC parameters","pwm_hawkes_results; pwm_hawkes_transition_monthly; pwm_hawkes_run_status plus dependent PWM tables","Still exposes min_events in script args; inconsistent with current QC-first direction"
packages/lakeanalysis/scripts/run_quality.py,Run area quality pipeline,no,"quality run",core,keep,"lake_area; atlas_area; frozen months; quality filter config","area_quality; area_anomalies in core parquet/DB","Script logic overlaps CLI implementation; target should be CLI-only"
packages/lakeanalysis/scripts/compute_shift_labels.py,Compute shift labels and sync to anomalies,yes,"shift compute / future shift sync",core,keep,"lake_area via provider; optional existing area_shift_labels parquet","area_shift_labels parquet and table; sync into area_quality and area_anomalies","Current script mixes compute/upsert/sync; should split sync into independent CLI flow"
packages/lakeanalysis/scripts/run_pfaf.py,Compute Pfafstetter basin lookup,yes,"spatial pfaf",experiment,keep,"lake centroids; ALTAS basin lookup","lake_pfaf table in DB/core data","Treat as artificial experiment preparation step rather than core engine"
packages/lakeanalysis/scripts/run_nearest.py,Compute nearest natural lake pairs,yes,"spatial nearest",experiment,keep,"lake_pfaf; lake_info; lake types; area ratio constraint","af_nearest table in core parquet/DB","Artificial experiment preparation step"
packages/lakeanalysis/scripts/run_similarity.py,Compute artificial-natural similarity and optional plots,yes,"spatial similarity",experiment,keep,"af_nearest pairs; lake_area; limit_pairs","data/similarity/similarity.csv and optional similarity plots","Already close to complete experiment entry"
packages/lakeanalysis/scripts/run_impact.py,Compute artificial-natural impact metrics and optional plots,yes,"spatial impact",experiment,keep,"af_nearest pairs; area quality filter; lake_area; z-threshold","data/impact/impact.csv and optional impact plots","Already close to complete experiment entry"
