target_figure_path_or_pattern,target_group,keep_or_create,migration_status,old_figure_paths,produced_by,content_annotation,notes
data/core/figures/full/quantile/extremes/density.png,core-visualize,keep,done,"data/figures/full/quantile/extremes/density.png","lake_adft visualize quantile-global","Global density of lakes with quantile extremes",Representative standard quantile figure
data/core/figures/full/quantile/extremes/event_density.png,core-visualize,keep,done,"data/figures/full/quantile/extremes/event_density.png","lake_adft visualize quantile-global","Global event-density of quantile extremes",Representative standard quantile figure
data/core/figures/full/quantile/extremes/density_high.png,core-visualize,keep,done,"data/figures/full/quantile/extremes/density_high.png","lake_adft visualize quantile-global","Global density of high quantile extremes",Representative standard quantile figure
data/core/figures/full/quantile/extremes/density_low.png,core-visualize,keep,done,"data/figures/full/quantile/extremes/density_low.png","lake_adft visualize quantile-global","Global density of low quantile extremes",Representative standard quantile figure
data/core/figures/full/quantile/transitions/density.png,core-visualize,keep,done,"data/figures/full/quantile/transitions/density.png","lake_adft visualize quantile-global","Global density of abrupt quantile transitions",Representative standard quantile figure
data/core/figures/full/quantile/transitions/event_density.png,core-visualize,keep,done,"data/figures/full/quantile/transitions/event_density.png","lake_adft visualize quantile-global","Global event-density of abrupt quantile transitions",Representative standard quantile figure
data/core/figures/full/quantile/transitions/density_low_to_high.png,core-visualize,keep,done,"data/figures/full/quantile/transitions/density_low_to_high.png","lake_adft visualize quantile-global","Global density of low-to-high transitions",Representative standard quantile figure
data/core/figures/full/quantile/transitions/density_high_to_low.png,core-visualize,keep,done,"data/figures/full/quantile/transitions/density_high_to_low.png","lake_adft visualize quantile-global","Global density of high-to-low transitions",Representative standard quantile figure
data/core/figures/full/quantile/extremes_scatter.png,core-visualize,keep,done,"data/figures/full/quantile/extremes_scatter.png","lake_adft visualize extremes-scatter","Global Robinson scatter of per-lake quantile extreme counts",Standard scatter companion figure
data/core/figures/full/pwm_extreme/convergence_rate.png,core-visualize,keep,done,"data/figures/gt10/pwm_extreme/convergence_rate.png","lake_adft visualize pwm-global","Global PWM convergence-rate map",Standard PWM summary figure
data/core/figures/full/pwm_extreme/median_threshold_high.png,core-visualize,keep,done,"data/figures/gt10/pwm_extreme/median_threshold_high.png","lake_adft visualize pwm-global","Global median high threshold map for PWM",Standard PWM summary figure
data/core/figures/full/pwm_extreme/median_threshold_low.png,core-visualize,keep,done,"data/figures/gt10/pwm_extreme/median_threshold_low.png","lake_adft visualize pwm-global","Global median low threshold map for PWM",Standard PWM summary figure
data/core/figures/full/pwm_extreme/monthly/threshold_high/month_*.png,core-visualize,keep,done,"data/figures/*/pwm_extreme/monthly/threshold_high/month_*.png","lake_adft visualize pwm-global","Monthly high-threshold PWM global maps by month",Pattern family
data/core/figures/full/pwm_extreme/monthly/threshold_low/month_*.png,core-visualize,keep,done,"data/figures/*/pwm_extreme/monthly/threshold_low/month_*.png","lake_adft visualize pwm-global","Monthly low-threshold PWM global maps by month",Pattern family
data/core/figures/full/eot/<tail>/<quantile>/*.png,core-visualize,keep,done,"current EOT global figure outputs","lake_adft visualize eot-global","Global EOT maps for convergence xi sigma frequency density threshold",Target path should be standardized by tail and quantile
data/comparison/benchmarks/area_vs_atlas/figures/area_scatter_median.png,comparison,keep,done,"data/area_comparison/area_scatter_median.png","lake_adft experiment comparison area-vs-atlas","Scatter of rs_area_median vs atlas_area",Benchmark figure
data/comparison/benchmarks/area_vs_atlas/figures/area_scatter_mean.png,comparison,keep,done,"data/area_comparison/area_scatter_mean.png","lake_adft experiment comparison area-vs-atlas","Scatter of rs_area_mean vs atlas_area",Benchmark figure
data/comparison/benchmarks/area_vs_atlas/figures/area_ratio_distribution.png,comparison,keep,done,"data/area_comparison/area_ratio_distribution.png","lake_adft experiment comparison area-vs-atlas","Distribution plot of rs/atlas area ratios",Benchmark figure
data/comparison/benchmarks/area_vs_atlas/figures/ratio_histogram_median.png,comparison,keep,done,"data/area_comparison/ratio_histogram_median.png","lake_adft experiment comparison area-vs-atlas","Histogram of log2 median rs/atlas ratios",Benchmark figure
data/comparison/benchmarks/area_vs_atlas/figures/ratio_histogram_mean.png,comparison,keep,done,"data/area_comparison/ratio_histogram_mean.png","lake_adft experiment comparison area-vs-atlas","Histogram of log2 mean rs/atlas ratios",Benchmark figure
data/comparison/benchmarks/area_vs_atlas/figures/area_grid_*.png,comparison,keep,done,"data/area_comparison/area_grid_*.png","lake_adft experiment comparison area-vs-atlas","Sampled lake small-multiple grids for extreme area-ratio cases",Pattern family
data/comparison/benchmarks/algorithms/full/figures/global/quantile_vs_pwm/*.png,comparison,keep,pending,"data/figures/comparison/quantile_vs_pwm/*.png","lake_adft experiment benchmark algorithms","Comparison panels for Quantile vs PWM across high low all and mean median on full dataset",Standard benchmark figure family
data/comparison/benchmarks/algorithms/full/figures/global/pwm_vs_eot/*.png,comparison,keep,pending,"data/figures/comparison/pwm_vs_eot/*.png","lake_adft experiment benchmark algorithms","Comparison panels for PWM vs EOT on full dataset",Standard benchmark figure family
data/comparison/benchmarks/algorithms/full/figures/global/eot_quantile/*.png,comparison,keep,pending,"data/figures/comparison/eot_quantile/*.png","lake_adft experiment benchmark algorithms","Comparison panels for EOT vs Quantile on full dataset",Standard benchmark figure family
data/comparison/benchmarks/algorithms/full/figures/global/pwm_pvalue/*.png,comparison,keep,pending,"data/figures/comparison/pwm_pvalue/*.png","lake_adft experiment benchmark algorithms","Comparison panels across PWM p-value thresholds on full dataset",Standard benchmark figure family
data/comparison/benchmarks/algorithms/full/figures/global/gt10_vs_full/*.png,comparison,create,pending,N/A,"lake_adft comparison dataset","Comparison panels for gt10 vs full dataset","New: dataset-level comparison figures
data/comparison/benchmarks/algorithms/full/figures/zonal/*.png,comparison,keep,done,"current comparison zonal outputs","lake_adft visualize comparison-zonal","Latitude-profile comparison figures for full dataset",Zonal benchmark figure family
data/comparison/benchmarks/algorithms/gt10/figures/**/*.png,comparison,keep,pending,"future gt10 comparison figure outputs","lake_adft experiment benchmark algorithms","Algorithm benchmark figures for gt10 dataset",Derived dataset benchmark family
data/comparison/benchmarks/hawkes/full/figures/hawkes_comparison_*.png,comparison,keep,done,N/A,"lake_adft comparison hawkes","PWM-Hawkes vs EOT-Hawkes comparison panels: parameter scatter; direction agreement; LRT comparison",Hawkes comparison figures
data/visualize/quality/upset/anomaly_upset.png,visualize,keep,done,"data/figures/upset/anomaly_upset.png","lake_adft visualize quality","UpSet intersection diagram of anomaly flag combinations",Quality visualization family
data/visualize/quality/upset/anomaly_donut.png,visualize,keep,done,"data/figures/upset/anomaly_donut.png","lake_adft visualize quality","Donut summary of anomaly category shares versus normal lakes",Quality visualization family
data/visualize/quality/area_vs_atlas/*.png,visualize,keep,done,"data/area_comparison/*.png","lake_adft visualize quality","Area-vs-atlas quality comparison figures",Quality visualization should subsume area comparison outputs
data/visualize/qr/hawkes/hawkes_qc_rates_by_quantile.png,visualize,keep,done,"data/hawkes/qc/hawkes_qc_rates_by_quantile.png","lake_adft visualize qr","Bar chart of Hawkes QC pass and convergence rates by quantile",Result-quality figure under Hawkes family
data/visualize/qr/hawkes/hawkes_qc_event_spectral_hist.png,visualize,keep,done,"data/hawkes/qc/hawkes_qc_event_spectral_hist.png","lake_adft visualize qr","Histograms of Hawkes event counts and spectral radius",Result-quality figure under Hawkes family
data/visualize/qr/hawkes/hawkes_qc_lrt_p_scatter.png,visualize,keep,done,"data/hawkes/qc/hawkes_qc_lrt_p_scatter.png","lake_adft visualize qr","Log-log scatter of dry-to-wet and wet-to-dry LRT p-values",Result-quality figure under Hawkes family
data/visualize/qr/hawkes/hawkes_qc_lrt_reject_by_test.png,visualize,keep,done,"data/hawkes/qc/hawkes_qc_lrt_reject_by_test.png","lake_adft visualize qr","Reject-null rate by Hawkes LRT test name",Result-quality figure under Hawkes family
data/visualize/qr/hawkes/hawkes_qc_transition_significant_by_direction.png,visualize,keep,done,"data/hawkes/qc/hawkes_qc_transition_significant_by_direction.png","lake_adft visualize qr","Significant transition fraction by direction",Result-quality figure under Hawkes family
data/visualize/qr/hawkes/hawkes_comparison/*.png,visualize,create,pending,N/A,"lake_adft visualize qr","Hawkes comparison summary figures: parameter distribution overlap; agreement matrix","New: Hawkes comparison visualization under QR group
data/experiments/artificial/similarity/figures/*.png,experiment,keep,done,"current similarity plots if generated","lake_adft experiment artificial similarity","Similarity experiment distribution and diagnostic figures",Standard experiment figure family
data/experiments/artificial/impact/figures/*.png,experiment,keep,done,"current impact plots if generated","lake_adft experiment artificial impact","Impact experiment distribution and case-study figures",Standard experiment figure family
data/experiments/entropy/figures/*.png,experiment,keep,done,"current entropy plots","lake_adft experiment entropy plot","Entropy experiment figures",Standard experiment figure family
data/experiments/interpolation/figures/*.png,experiment,keep,done,"data/interpolation/figures/*.png","lake_adft experiment interpolation run","Interpolation experiment figures",Experiment-specific figures if retained as business output
data/experiments/hawkes/mining/figures/hist_beta_WD_transition_lakes.png,experiment,keep,done,"data/hawkes/batch/mining/hist_beta_WD_transition_lakes.png","lake_adft experiment hawkes-mining","Histogram of beta_WD among selected transition lakes",Experiment figure
data/experiments/hawkes/mining/figures/fit_quality_metrics.png,experiment,keep,done,"data/hawkes/batch/mining/fit_quality_metrics.png","lake_adft experiment hawkes-mining","Hawkes batch fit-quality dashboard",Experiment figure
data/experiments/hawkes/mining/figures/hawkes_parameter_distributions.png,experiment,keep,done,"data/hawkes/batch/mining/hawkes_parameter_distributions.png","lake_adft experiment hawkes-mining","Parameter distribution dashboard for Hawkes fits",Experiment figure
data/experiments/hawkes/mining/figures/lrt_pvalue_distributions.png,experiment,keep,done,"data/hawkes/batch/mining/lrt_pvalue_distributions.png","lake_adft experiment hawkes-mining","LRT p-value distributions for Hawkes transition tests",Experiment figure
data/experiments/hawkes/mining/figures/short_memory_cases/*.png,experiment,keep,done,"data/hawkes/batch/mining/short_memory_cases/*.png","lake_adft experiment hawkes-mining","Combined extremes plots for selected short-memory transition cases",Experiment case-study figure family
data/diagnostics/**,diagnostics,keep,pending,"data/figures/pwm_hawkes/**; data/figures/quality/**; data/figures/shift_candidates/**; data/hawkes/1023/**","diagnostic-only commands if retained","All non-business debug or inspection plots",Business workflow should not depend on anything under diagnostics
